seed,horizon,model_type,auc,ap,f1,positive_rate
30,1,baseline,0.6404723127035831,0.05275496380339528,0.10588235294117647,0.03857008466603951
30,1,reward,0.7266558089033659,0.12965795281506376,0.10588235294117647,0.03857008466603951
30,1,policy,0.758414766558089,0.1310899863026161,0.10588235294117647,0.03857008466603951
30,1,full,0.6973398479913138,0.12736490753732133,0.2857142857142857,0.03857008466603951
30,3,baseline,0.43979591836734694,0.07404897060069474,0.11560693641618497,0.07714016933207903
30,3,reward,0.683265306122449,0.15710906366417957,0.18269230769230768,0.07714016933207903
30,3,policy,0.43074829931972786,0.10584240101287212,0.11560693641618497,0.07714016933207903
30,3,full,0.711156462585034,0.18354513530262345,0.32,0.07714016933207903
30,5,baseline,0.5140715109573241,0.09678413386351364,0.16470588235294117,0.09501411100658513
30,5,reward,0.6016147635524798,0.14578147555394588,0.1890547263681592,0.09501411100658513
30,5,policy,0.5274509803921569,0.13391936008601857,0.16470588235294117,0.09501411100658513
30,5,full,0.676470588235294,0.1741677440206852,0.3023255813953488,0.09501411100658513
30,10,baseline,0.5507522780250054,0.11390877987579637,0.19101123595505617,0.10348071495766697
30,10,reward,0.6427209154481882,0.16627283120225572,0.22535211267605634,0.10348071495766697
30,10,policy,0.5374019919474465,0.1275223886851896,0.19672131147540983,0.10348071495766697
30,10,full,0.5992795083704174,0.15539638997903144,0.26,0.10348071495766697
