seed,horizon,model_type,auc,ap,f1,positive_rate
30,1,baseline,0.6404723127035831,0.05275496380339528,0.10588235294117647,0.03857008466603951
30,1,reward,0.8904723127035831,0.18084851390220516,0.3333333333333333,0.03857008466603951
30,1,policy,0.7683224755700326,0.1707477305303392,0.3333333333333333,0.03857008466603951
30,1,full,0.8521986970684039,0.17602040816326528,0.20454545454545456,0.03857008466603951
30,3,baseline,0.43979591836734694,0.07404897060069474,0.11560693641618497,0.07714016933207903
30,3,reward,0.647891156462585,0.15380002460024228,0.2857142857142857,0.07714016933207903
30,3,policy,0.8072108843537414,0.21511295943222142,0.2857142857142857,0.07714016933207903
30,3,full,0.8296598639455782,0.23913916984357925,0.37383177570093457,0.07714016933207903
30,5,baseline,0.5140715109573241,0.09678413386351364,0.16470588235294117,0.09501411100658513
30,5,reward,0.6250288350634371,0.17201787042801236,0.15463917525773196,0.09501411100658513
30,5,policy,0.725836216839677,0.22974625350664857,0.41304347826086957,0.09501411100658513
30,5,full,0.7657439446366782,0.24225186371483565,0.41304347826086957,0.09501411100658513
30,10,baseline,0.5507522780250054,0.11390877987579637,0.19101123595505617,0.10348071495766697
30,10,reward,0.5567387158296249,0.1586407695232729,0.13978494623655913,0.10348071495766697
30,10,policy,0.7118563254926892,0.23620248738169597,0.42857142857142855,0.10348071495766697
30,10,full,0.7067705022250477,0.23521509636497945,0.38181818181818183,0.10348071495766697
